country,country_ja,region,region_ja,year,population,life_expectancy,fertility
Afghanistan,アフガニスタン,South Asia,南アジア,1955,7971931,43.88,7.42
Afghanistan,アフガニスタン,South Asia,南アジア,1960,8622466,45.03,7.38
Afghanistan,アフガニスタン,South Asia,南アジア,1965,9565147,46.13,7.35
Afghanistan,アフガニスタン,South Asia,南アジア,1970,10752971,47.08,7.4
Afghanistan,アフガニスタン,South Asia,南アジア,1975,12157386,47.55,7.54
Afghanistan,アフガニスタン,South Asia,南アジア,1980,12486631,43.68,7.59
Afghanistan,アフガニスタン,South Asia,南アジア,1985,10512221,42.03,7.52
Afghanistan,アフガニスタン,South Asia,南アジア,1990,10694796,53.83,7.57
Afghanistan,アフガニスタン,South Asia,南アジア,1995,16418912,54.33,7.71
Afghanistan,アフガニスタン,South Asia,南アジア,2000,19542982,54.73,7.53
Afghanistan,アフガニスタン,South Asia,南アジア,2005,24411191,57.63,6.91
Argentina,アルゼンチン,America,アメリカ大陸,1955,18700686,64.51,3.14
Argentina,アルゼンチン,America,アメリカ大陸,1960,20349744,65.26,3.08
Argentina,アルゼンチン,America,アメリカ大陸,1965,22053661,66.13,3.06
Argentina,アルゼンチン,America,アメリカ大陸,1970,23842803,66.13,3.09
Argentina,アルゼンチン,America,アメリカ大陸,1975,25875558,68.03,3.3
Argentina,アルゼンチン,America,アメリカ大陸,1980,28024803,70.23,3.3
Argentina,アルゼンチン,America,アメリカ大陸,1985,30287112,71.73,3.1
Argentina,アルゼンチン,America,アメリカ大陸,1990,32637657,72.47,3.03
Argentina,アルゼンチン,America,アメリカ大陸,1995,34946110,73.44,2.86
Argentina,アルゼンチン,America,アメリカ大陸,2000,37070774,74.22,2.59
Argentina,アルゼンチン,America,アメリカ大陸,2005,39070501,75.28,2.43
Australia,オーストラリア,East Asia & Pacific,東アジア・太平洋,1955,9209844,70.34,3.27
Australia,オーストラリア,East Asia & Pacific,東アジア・太平洋,1960,10286647,71.11,3.45
Australia,オーストラリア,East Asia & Pacific,東アジア・太平洋,1965,11359442,71.1,2.98
Australia,オーストラリア,East Asia & Pacific,東アジア・太平洋,1970,12595034,71.15,2.86
Australia,オーストラリア,East Asia & Pacific,東アジア・太平洋,1975,13886854,72.51,2.16
Australia,オーストラリア,East Asia & Pacific,東アジア・太平洋,1980,14706322,74.51,1.9
Australia,オーストラリア,East Asia & Pacific,東アジア・太平洋,1985,15785682,75.59,1.92
Australia,オーストラリア,East Asia & Pacific,東アジア・太平洋,1990,17048003,77.0,1.9
Australia,オーストラリア,East Asia & Pacific,東アジア・太平洋,1995,18002999,78.29,1.83
Australia,オーストラリア,East Asia & Pacific,東アジア・太平洋,2000,19017963,79.72,1.77
Australia,オーストラリア,East Asia & Pacific,東アジア・太平洋,2005,20171731,81.24,1.84
Austria,オーストリア,Europe & Central Asia,ヨーロッパ・中央アジア,1955,6946260,67.68,2.29
